Found 98 volume(s) with auxiliary information.
Volume LV_Temp__7___4_ Material: G4_BAKELITE Mass: 0.02
Volume LV_Si_Thick__2___1_ Material: G4_Al Mass: 2.24979
Volume LV_AL1 Material: G4_Al Mass: 501.404
Volume LV_Viti_Lunghe__3___1_ Material: G4_PLASTIC_SC_VINYLTOLUENE Mass: 2.10342
Volume LV_Viti_Lunghe__2___1_ Material: G4_PLASTIC_SC_VINYLTOLUENE Mass: 2.10342
Volume LV_Viti_Lunghe__1___1_ Material: G4_PLASTIC_SC_VINYLTOLUENE Mass: 2.10342
Volume LV_SiPM__3___1___1_ Material: G4_Si Mass: 0.08388
Volume LV_V1 Material: G4_PLASTIC_SC_VINYLTOLUENE Mass: 216.525
Volume LV_Viti_Lunghe__4_ Material: G4_PLASTIC_SC_VINYLTOLUENE Mass: 2.10342


################################################################
Total Mass of the detector: 1516.94 g
################################################################
